"item","avg_rating","rank","rating_sd","number_ratings","character"
"driven (not unambitious)",92.9,84,10.8,901,"Princess Leia"
"motivated (not unmotivated)",92.9,133,11.5,103,"Princess Leia"
"diligent (not lazy)",92.4,154,10.3,1011,"Princess Leia"
"devoted (not unfaithful)",92.1,103,10.1,88,"Princess Leia"
"loyal (not traitorous)",91.8,155,13.4,1108,"Princess Leia"
"badass (not weakass)",91.4,164,14.2,112,"Princess Leia"
"beautiful (not ugly)",90.8,215,15.1,252,"Princess Leia"
"competent (not incompetent)",90.5,167,15.8,889,"Princess Leia"
"political (not nonpolitical)",90.3,39,15.8,1026,"Princess Leia"
"feminist (not sexist)",90.1,95,14.7,382,"Princess Leia"
"not genocidal (not genocidal)",90,62,16.5,91,"Princess Leia"
"bold (not shy)",89.9,275,13,1064,"Princess Leia"
"active (not slothful)",89.7,123,12.1,866,"Princess Leia"
"important (not irrelevant)",89.5,178,17.8,460,"Princess Leia"
"attractive (not repulsive)",89.4,139,14,1027,"Princess Leia"
"confident (not insecure)",89.4,80,13.2,1011,"Princess Leia"
"human (not animalistic)",88.6,58,13.7,837,"Princess Leia"
"perceptive (not unobservant)",88.6,207,12.9,136,"Princess Leia"
"rebellious (not obedient)",88.6,178,16.6,858,"Princess Leia"
"healthy (not sickly)",88.4,68,13.3,1082,"Princess Leia"
"self-disciplined (not disorganized)",88.2,227,13.6,989,"Princess Leia"
"treasure (not trash)",88.2,139,17.6,350,"Princess Leia"
"rich (not poor)",88.1,214,15.2,980,"Princess Leia"
"resistant (not resigned)",88,17,16.5,1089,"Princess Leia"
"assertive (not passive)",88,122,16.1,932,"Princess Leia"
"high IQ (not low IQ)",88,319,12.8,834,"Princess Leia"
"independent (not codependent)",88,85,17.9,1135,"Princess Leia"
"direct (not roundabout)",87.9,97,13.8,976,"Princess Leia"
"charismatic (not uninspiring)",87.9,130,15.2,923,"Princess Leia"
"egalitarian (not racist)",87.8,237,13.4,261,"Princess Leia"
"civilized (not barbaric)",87.7,136,14.8,1003,"Princess Leia"
"🌟 (not 💩)",87.4,171,16.6,297,"Princess Leia"
"go-getter (not slugabed)",87.1,148,15.3,237,"Princess Leia"
"involved (not remote)",86.9,35,15.9,985,"Princess Leia"
"workaholic (not slacker)",86.9,309,14.3,241,"Princess Leia"
"valedictorian (not drop out)",86.6,217,19,300,"Princess Leia"
"protagonist (not antagonist)",86.6,148,20.7,90,"Princess Leia"
"decisive (not hesitant)",86.5,141,15.3,995,"Princess Leia"
"alpha (not beta)",86.5,232,18.3,854,"Princess Leia"
"fresh (not stinky)",86.5,130,16.9,430,"Princess Leia"
"coordinated (not clumsy)",86.4,234,13.7,977,"Princess Leia"
"overachiever (not underachiever)",85.8,261,19.3,122,"Princess Leia"
"resourceful (not helpless)",85.6,344,19.2,273,"Princess Leia"
"legit (not scrub)",85.6,114,15.2,396,"Princess Leia"
"bossy (not meek)",85.5,295,13.8,1019,"Princess Leia"
"prestigious (not disreputable)",85.5,83,17.3,895,"Princess Leia"
"captain (not first-mate)",85.4,205,22.3,1142,"Princess Leia"
"cultured (not rustic)",85.3,57,16.9,89,"Princess Leia"
"on-time (not tardy)",85.2,255,19,157,"Princess Leia"
"knowledgeable (not ignorant)",85.1,262,18.8,139,"Princess Leia"
"eloquent (not unpolished)",85,151,17.8,916,"Princess Leia"
"kind (not cruel)",84.8,343,15.2,1013,"Princess Leia"
"opinionated (not neutral)",84.6,407,21.7,136,"Princess Leia"
"🤺 (not 🏌)",84.4,203,20.1,302,"Princess Leia"
"sturdy (not flimsy)",84.1,191,19.3,125,"Princess Leia"
"extraordinary (not mundane)",84,212,18.2,1061,"Princess Leia"
"stylish (not slovenly)",83.7,196,18.3,997,"Princess Leia"
"studious (not goof-off)",83.6,325,16.2,297,"Princess Leia"
"altruistic (not selfish)",83.5,137,17,1083,"Princess Leia"
"soulful (not soulless)",83.5,354,16.7,222,"Princess Leia"
"one-faced (not two-faced)",83.1,219,21.3,131,"Princess Leia"
"dominant (not submissive)",83,422,17,1091,"Princess Leia"
"manicured (not scruffy)",83,383,19.8,1095,"Princess Leia"
"brave (not careful)",82.9,147,17.8,1039,"Princess Leia"
"self-assured (not self-conscious)",82.7,145,20.8,877,"Princess Leia"
"washed (not muddy)",82.7,127,18.6,88,"Princess Leia"
"presidential (not folksy)",82.6,121,20.1,122,"Princess Leia"
"charming (not awkward)",82.5,206,18.7,1081,"Princess Leia"
"mighty (not puny)",82.5,266,19,1027,"Princess Leia"
"pointed (not random)",82.5,303,17.3,105,"Princess Leia"
"genius (not dunce)",82.4,273,15.8,1155,"Princess Leia"
"rhythmic (not stuttering)",82.2,185,17.4,128,"Princess Leia"
"believable (not poorly-written)",82.2,223,17.1,134,"Princess Leia"
"inspiring (not cringeworthy)",82.1,129,20.6,215,"Princess Leia"
"resolute (not wavering)",82,174,19.9,257,"Princess Leia"
"reasonable (not deranged)",81.9,164,19.1,265,"Princess Leia"
"🧗 (not 🛌)",81.8,284,21.8,415,"Princess Leia"
"alert (not oblivious)",81.6,307,19.5,288,"Princess Leia"
"clean (not perverted)",81.6,326,22.6,118,"Princess Leia"
"disarming (not creepy)",81.6,147,17,398,"Princess Leia"
"works hard (not plays hard)",81.1,319,19.3,1020,"Princess Leia"
"pro (not noob)",81.1,498,21.9,297,"Princess Leia"
"f***-the-police (not tattle-tale)",81.1,373,25.6,140,"Princess Leia"
"confidential (not gossiping)",81,373,18.7,1157,"Princess Leia"
"empath (not psychopath)",80.8,260,18.7,112,"Princess Leia"
"sensible (not ludicrous)",80.8,156,18.6,964,"Princess Leia"
"demanding (not unchallenging)",80.6,495,19.5,130,"Princess Leia"
"reassuring (not fearmongering)",80.5,136,23.3,74,"Princess Leia"
"precise (not vague)",80.4,237,17.4,725,"Princess Leia"
"stubborn (not accommodating)",80.4,465,21.3,149,"Princess Leia"
"love-focused (not money-focused)",80.4,454,21.6,84,"Princess Leia"
"mature (not juvenile)",80.3,271,19.5,245,"Princess Leia"
"patriotic (not unpatriotic)",80,212,24.5,273,"Princess Leia"
"straightforward (not cryptic)",79.8,150,21.8,996,"Princess Leia"
"neat (not messy)",79.7,355,19.6,815,"Princess Leia"
"liberal (not conservative)",79.7,215,22.5,302,"Princess Leia"
"wise (not foolish)",79.5,228,18.2,1141,"Princess Leia"
"rational (not whimsical)",79.5,241,19.4,1043,"Princess Leia"
"highbrow (not lowbrow)",79.4,143,19.7,862,"Princess Leia"
"high standards (not desperate)",79.3,256,20.6,144,"Princess Leia"
"tasteful (not lewd)",79.2,191,19.4,1007,"Princess Leia"
"emancipated (not enslaved)",79,208,23.1,976,"Princess Leia"
"young (not old)",78.9,451,18.6,925,"Princess Leia"
"frank (not sugarcoated)",78.7,432,23,89,"Princess Leia"
"neurotypical (not autistic)",78.5,202,20.7,877,"Princess Leia"
"interesting (not tiresome)",78.2,375,21.7,1000,"Princess Leia"
"forward-thinking (not stuck-in-the-past)",78,133,22.5,117,"Princess Leia"
"vegan (not cannibal)",77.9,167,21.3,143,"Princess Leia"
"loveable (not punchable)",77.8,325,22.9,136,"Princess Leia"
"nurturing (not poisonous)",77.8,372,17.2,355,"Princess Leia"
"open to new experinces (not uncreative)",77.6,510,20.2,989,"Princess Leia"
"opinionated (not jealous)",77.6,360,19.6,91,"Princess Leia"
"fast (not slow)",77.5,418,19.1,925,"Princess Leia"
"democratic (not authoritarian)",77.3,133,26.8,970,"Princess Leia"
"curious (not apathetic)",77.2,323,21.6,1031,"Princess Leia"
"🐩 (not 🐒)",77.1,246,24.3,292,"Princess Leia"
"vibrant (not geriatric)",77.1,406,21.5,109,"Princess Leia"
"enlightened (not lost)",77.1,119,20,128,"Princess Leia"
"gendered (not androgynous)",76.9,812,24.7,383,"Princess Leia"
"prideful (not envious)",76.9,296,18.3,116,"Princess Leia"
"angelic (not demonic)",76.9,311,18.9,958,"Princess Leia"
"adventurous (not stick-in-the-mud)",76.9,417,23.7,863,"Princess Leia"
"contrarian (not yes-man)",76.8,226,21.8,82,"Princess Leia"
"down2earth (not head@clouds)",76.5,232,24.5,966,"Princess Leia"
"refined (not rugged)",76.3,340,21.1,1056,"Princess Leia"
"💝 (not 💔)",76.2,219,26,411,"Princess Leia"
"spicy (not mild)",76.1,450,22.4,1003,"Princess Leia"
"bright (not depressed)",75.8,189,19.8,859,"Princess Leia"
"reliable (not experimental)",75.7,283,26.8,113,"Princess Leia"
"giving (not receiving)",75.6,366,25.7,100,"Princess Leia"
"self-improving (not self-destructive)",75.5,147,21.6,109,"Princess Leia"
"extrovert (not introvert)",75.3,402,21.5,916,"Princess Leia"
"suspicious (not awkward)",75.1,410,16.8,889,"Princess Leia"
"intellectual (not physical)",75,549,19.6,1044,"Princess Leia"
"equitable (not hypocritical)",74.9,217,23.3,278,"Princess Leia"
"deep (not shallow)",74.8,368,21.3,388,"Princess Leia"
"sane (not crazy)",74.8,227,22.9,272,"Princess Leia"
"😊 (not 🤣)",74.7,333,22.2,287,"Princess Leia"
"tactful (not indiscreet)",74.7,284,25.4,281,"Princess Leia"
"chic (not cheesy)",74.6,201,23.6,90,"Princess Leia"
"feisty (not gracious)",74.5,541,23.6,926,"Princess Leia"
"🧠 (not 💪)",74.5,667,23.7,341,"Princess Leia"
"pure (not debased)",74.3,325,21.3,983,"Princess Leia"
"feminine (not masculine)",74.2,438,20.7,1083,"Princess Leia"
"social (not reclusive)",74.2,377,22.6,474,"Princess Leia"
"dramatic (not comedic)",74,569,21.5,123,"Princess Leia"
"straight (not queer)",73.9,731,26.5,380,"Princess Leia"
"high-tech (not low-tech)",73.8,333,20.9,977,"Princess Leia"
"generous (not stingy)",73.8,459,22.3,149,"Princess Leia"
"frenzied (not sleepy)",73.5,626,17.3,124,"Princess Leia"
"realistic (not fantastical)",73.5,376,24.8,129,"Princess Leia"
"city-slicker (not country-bumpkin)",73.1,677,26.2,304,"Princess Leia"
"urban (not rural)",73.1,563,25.5,412,"Princess Leia"
"ranged (not melee)",72.9,90,25,111,"Princess Leia"
"rock (not rap)",72.7,802,24.1,80,"Princess Leia"
"spelunker (not claustrophobic)",72.6,248,22.7,97,"Princess Leia"
"ivory-tower (not blue-collar)",72.5,303,26.6,1019,"Princess Leia"
"orderly (not chaotic)",72.4,472,24.8,1024,"Princess Leia"
"playful (not shy)",72.4,715,19,944,"Princess Leia"
"complicated (not simple)",72.3,632,22.8,866,"Princess Leia"
"hurried (not leisurely)",72.3,243,20.6,1089,"Princess Leia"
"sober (not indulgent)",72.2,194,23.5,961,"Princess Leia"
"tight (not loose)",72.2,562,22.3,132,"Princess Leia"
"interested (not bored)",72.1,584,25.6,120,"Princess Leia"
"expressive (not monotone)",71.8,570,24.5,102,"Princess Leia"
"master (not apprentice)",71.7,719,24.8,438,"Princess Leia"
"English (not German)",71.7,877,29,125,"Princess Leia"
"cool (not dorky)",71.6,460,26.2,276,"Princess Leia"
"loud (not quiet)",71.6,548,22.9,999,"Princess Leia"
"strict (not lenient)",71.5,478,19.8,1064,"Princess Leia"
"optimistic (not pessimistic)",71.5,360,23.7,1006,"Princess Leia"
"🥰 (not 🙃)",71.5,306,28.5,423,"Princess Leia"
"📈 (not 📉)",71.5,345,28,271,"Princess Leia"
"main character (not side character)",71.5,553,28.8,69,"Princess Leia"
"tense (not relaxed)",71.4,874,20.4,1052,"Princess Leia"
"consistent (not variable)",71.3,410,27.7,126,"Princess Leia"
"existentialist (not nihilist)",71.3,204,22.7,197,"Princess Leia"
"thick-skinned (not sensitive)",71.2,337,25.4,914,"Princess Leia"
"privileged (not oppressed)",71.1,714,24,140,"Princess Leia"
"chosen one (not everyman)",71.1,342,26.5,90,"Princess Leia"
"romantic (not dispassionate)",71,678,23,132,"Princess Leia"
"cynical (not gullible)",71,597,24.4,87,"Princess Leia"
"celebrity (not boy/girl-next-door)",70.9,344,29.6,94,"Princess Leia"
"armoured (not vulnerable)",70.8,590,22.8,867,"Princess Leia"
"cocky (not timid)",70.8,825,22.9,87,"Princess Leia"
"cosmopolitan (not provincial)",70.7,308,27.8,912,"Princess Leia"
"exuberant (not subdued)",70.6,474,24.5,128,"Princess Leia"
"conspiracist (not sheeple)",70.4,557,24.4,661,"Princess Leia"
"efficient (not overprepared)",70.2,435,29.4,127,"Princess Leia"
"factual (not exaggerating)",70.1,405,26.6,106,"Princess Leia"
"OCD (not ADHD)",70.1,575,26.1,127,"Princess Leia"
"serious (not playful)",70,710,21,983,"Princess Leia"
"short (not tall)",70,301,20.4,1100,"Princess Leia"
"worldly (not innocent)",69.9,811,25.5,1110,"Princess Leia"
"guarded (not open)",69.7,904,22.4,970,"Princess Leia"
"practical (not imaginative)",69.7,605,24.7,878,"Princess Leia"
"fighter (not lover)",69.7,403,23.1,144,"Princess Leia"
"😇 (not 😈)",69.4,505,26.8,269,"Princess Leia"
"flower child (not goth)",69.4,651,28.1,80,"Princess Leia"
"🎩 (not 🧢)",69.3,578,28.4,248,"Princess Leia"
"minimalist (not pack rat)",69.2,298,24.6,257,"Princess Leia"
"sexual (not asexual)",69.1,779,25.4,110,"Princess Leia"
"technophile (not luddite)",69.1,294,22.9,846,"Princess Leia"
"😏 (not 😬)",69.1,443,26.6,266,"Princess Leia"
"offended (not chill)",69,510,21.3,121,"Princess Leia"
"😀 (not 😭)",68.9,351,24.2,320,"Princess Leia"
"scientific (not artistic)",68.7,552,22.4,966,"Princess Leia"
"no-nonsense (not dramatic)",68.7,364,27.8,407,"Princess Leia"
"devout (not heathen)",68.4,409,24.8,955,"Princess Leia"
"wholesome (not salacious)",68.3,608,26.2,258,"Princess Leia"
"👽 (not 🤡)",68.3,365,23.8,239,"Princess Leia"
"fast-talking (not slow-talking)",68.2,626,22.4,115,"Princess Leia"
"never cries (not often crying)",68.1,631,25.6,85,"Princess Leia"
"intense (not lighthearted)",68,844,24.9,124,"Princess Leia"
"ferocious (not pacifist)",67.8,703,27.6,1018,"Princess Leia"
"deliberate (not spontaneous)",67.8,754,27.3,940,"Princess Leia"
"picky (not always down)",67.8,484,24.5,88,"Princess Leia"
"official (not backdoor)",67.6,333,28.5,1067,"Princess Leia"
"wild (not tame)",67.3,772,24.8,973,"Princess Leia"
"concise (not long-winded)",67.3,318,27.9,66,"Princess Leia"
"real (not philosophical)",67.2,620,26.1,730,"Princess Leia"
"introspective (not not introspective)",67.2,677,26.9,406,"Princess Leia"
"🦄 (not 🐴)",67.2,355,29.5,298,"Princess Leia"
"stoic (not hypochondriac)",67,534,26.2,62,"Princess Leia"
"fire (not water)",66.8,740,31.3,118,"Princess Leia"
"proper (not scandalous)",66.7,543,26.5,930,"Princess Leia"
"literal (not metaphorical)",66.4,536,25.7,983,"Princess Leia"
"deviant (not average)",66.4,705,24.3,675,"Princess Leia"
"insider (not outsider)",66.2,258,28.4,724,"Princess Leia"
"permanent (not transient)",66.2,461,27.1,346,"Princess Leia"
"open-minded (not close-minded)",66.1,675,25.6,1047,"Princess Leia"
"👨‍🚀 (not 🧙)",66.1,357,28.6,388,"Princess Leia"
"hard (not soft)",65.9,662,21.6,1005,"Princess Leia"
"formal (not intimate)",65.9,521,25.3,421,"Princess Leia"
"modern (not historical)",65.8,616,27.5,720,"Princess Leia"
"industrial (not domestic)",65.8,386,25.7,185,"Princess Leia"
"proactive (not reactive)",65.7,172,31.5,88,"Princess Leia"
"🐿 (not 🦇)",65.5,656,27.6,228,"Princess Leia"
"bold (not serious)",65.4,607,29.2,1043,"Princess Leia"
"focused on the future (not focused on the present)",65.3,308,26.8,993,"Princess Leia"
"honorable (not cunning)",65.1,723,28.6,1128,"Princess Leia"
"concrete (not abstract)",65,601,27.2,275,"Princess Leia"
"musical (not off-key)",65,357,26.3,123,"Princess Leia"
"factual (not poetic)",65,617,26,141,"Princess Leia"
"emotional (not unemotional)",64.8,1014,23.5,76,"Princess Leia"
"fortunate (not unlucky)",64.7,381,25.6,980,"Princess Leia"
"🐘 (not 🐀)",64.7,431,29.7,414,"Princess Leia"
"triggered (not trolling)",64.7,739,25,108,"Princess Leia"
"wooden (not plastic)",64.7,860,24,95,"Princess Leia"
"expressive (not stoic)",64.5,762,27.8,989,"Princess Leia"
"doer (not thinker)",64.4,800,30.5,149,"Princess Leia"
"Coke (not Pepsi)",64.3,230,33,127,"Princess Leia"
"fixable (not unfixable)",64.2,669,28.8,109,"Princess Leia"
"narcissistic (not low self esteem)",63.9,714,21.3,136,"Princess Leia"
"purple (not orange)",63.8,430,27.6,807,"Princess Leia"
"sunny (not gloomy)",63.8,550,24.4,128,"Princess Leia"
"exhibitionist (not bashful)",63.8,756,28.9,102,"Princess Leia"
"thin (not thick)",63.7,731,25.5,681,"Princess Leia"
"🐮 (not 🐷)",63.7,469,26.9,335,"Princess Leia"
"normal (not weird)",63.6,374,24.7,1039,"Princess Leia"
"utilitarian (not decorative)",63.4,800,27.8,200,"Princess Leia"
"reasoned (not instinctual)",63.3,406,28.2,1007,"Princess Leia"
"hard (not soft)",63.2,735,24.8,226,"Princess Leia"
"🙋‍♂️ (not 🙅‍♂️)",63.2,662,32.8,263,"Princess Leia"
"ambitious (not realistic)",63.2,784,31.1,135,"Princess Leia"
"radical (not centrist)",63.2,555,30.8,81,"Princess Leia"
"objective (not subjective)",63.1,313,26.6,196,"Princess Leia"
"calm (not anxious)",62.6,423,26.8,1016,"Princess Leia"
"smooth (not rough)",62.6,582,26.8,1013,"Princess Leia"
"hard-work (not natural-talent)",62.6,827,27.9,142,"Princess Leia"
"cat person (not dog person)",62.5,591,30.9,82,"Princess Leia"
"compersive (not jealous)",62,578,24.8,851,"Princess Leia"
"street-smart (not sheltered)",62,942,29,941,"Princess Leia"
"joyful (not miserable)",62,469,21.8,264,"Princess Leia"
"🥵 (not 🥶)",61.9,657,29.7,106,"Princess Leia"
"biased (not impartial)",61.8,1003,27.5,981,"Princess Leia"
"impatient (not patient)",61.7,919,27.3,387,"Princess Leia"
"bourgeoisie (not proletariat)",61.6,603,31.3,791,"Princess Leia"
"pretentious (not unassuming)",61.6,751,26.6,286,"Princess Leia"
"🎨 (not 🏀)",61.5,973,33,113,"Princess Leia"
"French (not Russian)",61.4,777,29.3,124,"Princess Leia"
"secretive (not open-book)",61.4,985,26.9,150,"Princess Leia"
"extravagant (not thrifty)",61.4,643,27.6,116,"Princess Leia"
"creative (not conventional)",61.3,743,28.8,1021,"Princess Leia"
"hoarder (not unprepared)",61.2,817,20.5,830,"Princess Leia"
"👨‍⚕️ (not 👨‍🔧)",61.2,718,30.7,292,"Princess Leia"
"work-first (not family-first)",61.1,718,29.4,1110,"Princess Leia"
"metrosexual (not macho)",61,861,28.5,107,"Princess Leia"
"socialist (not libertarian)",60.9,161,33.2,874,"Princess Leia"
"unorthodox (not traditional)",60.9,818,30.8,230,"Princess Leia"
"moist (not dry)",60.9,519,27.8,111,"Princess Leia"
"profound (not ironic)",60.9,506,28.2,111,"Princess Leia"
"🥳 (not 🥴)",60.6,426,27.8,238,"Princess Leia"
"morning lark (not night owl)",60.5,438,27.4,574,"Princess Leia"
"modest (not flamboyant)",60.3,812,27.4,1016,"Princess Leia"
"charming (not trusting)",60.2,726,28.8,962,"Princess Leia"
"🤠 (not 🤑)",60.2,956,31.1,264,"Princess Leia"
"logical (not emotional)",60.1,606,25.9,1036,"Princess Leia"
"still (not twitchy)",60.1,427,29.2,157,"Princess Leia"
"hunter (not gatherer)",60,848,30.8,116,"Princess Leia"
"epic (not deep)",60,570,30.9,114,"Princess Leia"
"empirical (not theoretical)",59.7,598,28.5,901,"Princess Leia"
"flourishing (not traumatized)",59.7,324,26.5,134,"Princess Leia"
"tailor (not blacksmith)",59.6,967,27.7,96,"Princess Leia"
"obsessed (not aloof)",59.3,1023,25.9,935,"Princess Leia"
"attentive (not interrupting)",59.3,761,30.6,124,"Princess Leia"
"unambiguous (not mysterious)",59.2,772,28.6,1168,"Princess Leia"
"businesslike (not chivalrous)",59.2,727,31.4,117,"Princess Leia"
"skeptical (not spiritual)",59.1,1199,27.9,989,"Princess Leia"
"warm (not cold)",59.1,870,24.6,913,"Princess Leia"
"🎃 (not 💀)",59,627,32,104,"Princess Leia"
"suspicious (not trusting)",58.8,874,28.8,1018,"Princess Leia"
"non-gamer (not gamer)",58.8,994,32.4,104,"Princess Leia"
"respectful (not rude)",58.6,1003,26.4,1015,"Princess Leia"
"western (not eastern)",58.6,1114,31.5,365,"Princess Leia"
"🤔 (not 🤫)",58.6,863,31.1,228,"Princess Leia"
"demure (not vain)",58.4,688,24.1,975,"Princess Leia"
"white knight (not bad boy)",58.4,967,31.1,93,"Princess Leia"
"👻 (not 🤖)",58.1,762,28,234,"Princess Leia"
"judgemental (not accepting)",57.8,811,28.8,735,"Princess Leia"
"pain-avoidant (not masochistic)",57.8,631,27.9,117,"Princess Leia"
"funny (not humorless)",57.7,971,25.8,1000,"Princess Leia"
"mischievous (not well behaved)",57.6,980,30.1,1051,"Princess Leia"
"communal (not individualist)",57.6,466,34.3,240,"Princess Leia"
"quarrelsome (not warm)",57.5,879,26.7,1039,"Princess Leia"
"extreme (not moderate)",57.3,1089,26.6,875,"Princess Leia"
"varied (not repetitive)",57.2,427,27,394,"Princess Leia"
"tautology (not oxymoron)",57.2,260,31.3,53,"Princess Leia"
"forgiving (not vengeful)",57,866,27.4,984,"Princess Leia"
"linear (not circular)",57,680,27.6,120,"Princess Leia"
"scheduled (not spontaneous)",56.8,986,29.8,1019,"Princess Leia"
"transparent (not machiavellian)",56.7,777,29.3,98,"Princess Leia"
"monastic (not hedonist)",56.6,520,26,219,"Princess Leia"
"chaste (not lustful)",56.4,629,23.6,965,"Princess Leia"
"freelance (not corporate)",56.3,1027,32.1,120,"Princess Leia"
"nerd (not jock)",56.1,1031,26,973,"Princess Leia"
"😜 (not 🤐)",56,787,30.5,249,"Princess Leia"
"blissful (not haunted)",55.8,470,27.3,126,"Princess Leia"
"hipster (not basic)",55.7,584,27.3,913,"Princess Leia"
"sarcastic (not genuine)",55.3,797,29.9,1047,"Princess Leia"
"👩‍🔬 (not 👩‍🎤)",55.3,814,32.2,308,"Princess Leia"
"pensive (not serene)",55.3,1507,27.1,115,"Princess Leia"
"literary (not mathematical)",55.1,1098,28.3,868,"Princess Leia"
"normie (not freak)",55,730,25.9,150,"Princess Leia"
"chatty (not reserved)",54.9,890,27.9,1045,"Princess Leia"
"private (not gregarious)",54.8,1159,27.1,930,"Princess Leia"
"indie (not pop)",54.7,1203,30.9,81,"Princess Leia"
"princess (not queen)",54.7,605,42.7,73,"Princess Leia"
"competitive (not cooperative)",54.6,1137,31.9,930,"Princess Leia"
"stable (not moody)",54.6,494,26.8,1035,"Princess Leia"
"happy (not sad)",54.5,605,21.6,981,"Princess Leia"
"sage (not whippersnapper)",54.5,784,29.3,118,"Princess Leia"
"lavish (not frugal)",54.3,756,26.9,948,"Princess Leia"
"sweet (not bitter)",54.3,920,23.9,1015,"Princess Leia"
"👟 (not 🥾)",54.3,893,34.4,269,"Princess Leia"
"methodical (not astonishing)",54.2,1098,30.5,985,"Princess Leia"
"'left-brained' (not 'right-brained')",54,577,28.3,673,"Princess Leia"
"regular (not zany)",54,723,27.3,266,"Princess Leia"
"😎 (not 🧐)",54,968,34.5,273,"Princess Leia"
"🚴 (not 🏋️‍♂️)",54,1335,32.1,244,"Princess Leia"
"jaded (not innocent)",54,1259,25.7,70,"Princess Leia"
"winter (not summer)",53.8,890,30.3,85,"Princess Leia"
"classical (not avant-garde)",53.6,1039,29.5,209,"Princess Leia"
"generalist (not specialist)",53.6,512,30.6,193,"Princess Leia"
"paranoid (not naive)",53.6,1171,23.2,74,"Princess Leia"
"good-cook (not bad-cook)",53.5,826,30.8,100,"Princess Leia"
"💃 (not 🧕)",53.4,1237,32,410,"Princess Leia"
"kinky (not vanilla)",53.3,912,28.2,873,"Princess Leia"
"grateful (not entitled)",53.3,910,30.5,132,"Princess Leia"
"outlaw (not sheriff)",52.9,943,31.9,1025,"Princess Leia"
"analysis (not common sense)",52.9,1076,31.3,79,"Princess Leia"
"quirky (not predictable)",52.9,967,26.2,79,"Princess Leia"
"Greek (not Roman)",52.8,718,30.4,103,"Princess Leia"
"cautious (not impulsive)",52.7,917,27.9,1031,"Princess Leia"
"cheery (not sorrowful)",52.3,729,22.7,931,"Princess Leia"
"politically correct (not edgy)",52.3,787,31.2,941,"Princess Leia"
"rigid (not flexible)",52.2,1069,27,978,"Princess Leia"
"distant (not touchy-feely)",52.2,1078,26.7,94,"Princess Leia"
"arrogant (not humble)",52.1,1062,26.9,959,"Princess Leia"
"bookish (not sporty)",52.1,1199,25.9,875,"Princess Leia"
"builder (not explorer)",52,890,31.4,1118,"Princess Leia"
"insulting (not complimentary)",52,844,28.6,218,"Princess Leia"
"🐐 (not 🦒)",51.9,1372,32,371,"Princess Leia"
"idealist (not realist)",51.7,902,31.9,239,"Princess Leia"
"air (not earth)",51.7,560,32.6,98,"Princess Leia"
"monochrome (not multicolored)",51.4,989,32.9,205,"Princess Leia"
"pronatalist (not child free)",51.3,608,29.3,834,"Princess Leia"
"mad (not glad)",51.3,1113,26.5,289,"Princess Leia"
"flirtatious (not prudish)",51.3,1095,26,75,"Princess Leia"
"arcane (not mainstream)",51.2,1158,28.2,863,"Princess Leia"
"crafty (not scholarly)",51.1,1206,28.8,1154,"Princess Leia"
"angry (not good-humored)",51,861,24.3,882,"Princess Leia"
"anarchist (not statist)",51,914,33.4,379,"Princess Leia"
"trendy (not vintage)",51,518,32,101,"Princess Leia"
"preppy (not punk rock)",50.1,1189,29.8,139,"Princess Leia"
"Swedish (not Italian)",50.2,967,32.2,86,"Princess Leia"
"overspender (not penny-pincher)",50.7,867,27.2,375,"Princess Leia"
"atheist (not theist)",50.5,1230,30.7,193,"Princess Leia"
"chortling (not giggling)",50.5,1326,28.5,125,"Princess Leia"
"f***-the-police (not tattle-tale)",96.1,11,6.8,138,"Han Solo"
"street-smart (not sheltered)",95,5,9.7,975,"Han Solo"
"bold (not shy)",94.1,84,9.2,1088,"Han Solo"
"rebellious (not obedient)",94,38,9.6,868,"Han Solo"
"spontaneous (not scheduled)",92.5,38,10.8,1018,"Han Solo"
"playful (not shy)",92.5,57,9.8,999,"Han Solo"
"adventurous (not stick-in-the-mud)",92.5,54,13.2,936,"Han Solo"
"charismatic (not uninspiring)",92.2,41,11.8,903,"Han Solo"
"flirtatious (not prudish)",91.8,35,11.7,82,"Han Solo"
"freelance (not corporate)",91.6,39,15.1,154,"Han Solo"
"😎 (not 🧐)",91.5,11,15.1,347,"Han Solo"
"cocky (not timid)",91.4,88,13.4,81,"Han Solo"
"masculine (not feminine)",91.1,121,11.3,1074,"Han Solo"
"mischievous (not well behaved)",90.7,106,13.6,962,"Han Solo"
"sporty (not bookish)",90.4,34,12.4,974,"Han Solo"
"crafty (not scholarly)",89.9,8,13.2,1151,"Han Solo"
"wild (not tame)",89.7,88,12.2,999,"Han Solo"
"sexual (not asexual)",89.1,123,16.5,122,"Han Solo"
"backdoor (not official)",89,21,18.9,1129,"Han Solo"
"outlaw (not sheriff)",88.9,78,17.1,1051,"Han Solo"
"rugged (not refined)",88.7,40,14.1,1071,"Han Solo"
"skeptical (not spiritual)",88.6,39,15.3,1102,"Han Solo"
"arrogant (not humble)",88.5,151,14,1047,"Han Solo"
"doer (not thinker)",88.5,25,18,149,"Han Solo"
"confident (not insecure)",88.3,105,18.1,1038,"Han Solo"
"funny (not humorless)",88.2,95,14.4,1027,"Han Solo"
"explorer (not builder)",88.2,21,15.8,1171,"Han Solo"
"😏 (not 😬)",88.2,28,18.2,293,"Han Solo"
"badass (not weakass)",88.1,297,16.2,111,"Han Solo"
"👨‍🔧 (not 👨‍⚕️)",88,55,14.5,324,"Han Solo"
"bold (not serious)",87.8,36,13.5,1075,"Han Solo"
